Location 1,Location 2,Price,Rooms,Bathrooms,CarParks,Type,Furnish
Setapak,Kuala-Lumpur,416000,3,2,0,Built-up,Unfurnished
Taman-Tun-Dr-Ismail,Kuala-Lumpur,925000,3,2,0,Built-up,Partly
Taman-Tun-Dr-Ismail,Kuala-Lumpur,835000,3,2,0,Built-up,Partly
Pantai,Kuala-Lumpur,499999,3,2,0,Built-up,Fully
Jalan-Kuching,Kuala-Lumpur,300000,3,2,0,Built-up,Unfurnished
Bukit-Bintang,Kuala-Lumpur,980000,3,3,0,Built-up,Partly
KL-Sentral,Kuala-Lumpur,1111000,3,3,0,Built-up,Partly
Kepong,Kuala-Lumpur,520000,3,2,0,Built-up,Partly
Titiwangsa,Kuala-Lumpur,450000,3,2,0,Built-up,Partly
Cheras,Kuala-Lumpur,860000,2,2,0,Built-up,Partly
KLCC,Kuala-Lumpur,1550000,2,2,0,Built-up,Fully
Kepong,Kuala-Lumpur,520000,3,2,0,Built-up,Partly
Kepong,Kuala-Lumpur,530000,3,2,0,Built-up,Partly
KLCC,Kuala-Lumpur,1500000,2,2,0,Built-up,Fully
KLCC,Kuala-Lumpur,3700,2,1,0,Built-up,Fully
Sentul,Kuala-Lumpur,600000,3,2,0,Built-up,Partly
KLCC,Kuala-Lumpur,900000,3,2,0,Built-up,Partly
Desa-ParkCity,Kuala-Lumpur,1100000,2,1,0,Built-up,Fully
Jalan-Ipoh,Kuala-Lumpur,590000,3,2,0,Built-up,Partly
Jalan-Ipoh,Kuala-Lumpur,590000,3,2,0,Built-up,Partly
Mont-Kiara,Kuala-Lumpur,620000,2,2,0,Built-up,Fully
Setapak,Kuala-Lumpur,470000,3,2,0,Built-up,Partly
Salak-Selatan,Kuala-Lumpur,620000,3,2,0,Built-up,Partly
Cheras,Kuala-Lumpur,490000,3,2,0,Built-up,Partly
Mont-Kiara,Kuala-Lumpur,1180000,2,2,0,Built-up,Partly
Sungai-Besi,Kuala-Lumpur,529000,3,2,0,Built-up,Partly
Sungai-Besi,Kuala-Lumpur,520000,3,2,0,Built-up,Partly
KL-City,Kuala-Lumpur,650000,3,2,0,Built-up,Partly
Sungai-Besi,Kuala-Lumpur,550000,3,2,0,Built-up,Partly
Bukit-Bintang,Kuala-Lumpur,1150000,2,2,0,Built-up,Fully
Salak-Selatan,Kuala-Lumpur,458000,3,3,0,Built-up,Fully
Sungai-Besi,Kuala-Lumpur,450000,3,3,0,Built-up,Fully
Sungai-Besi,Kuala-Lumpur,450000,3,3,0,Built-up,Fully
Sungai-Besi,Kuala-Lumpur,355000,3,2,0,Built-up,Fully
KLCC,Kuala-Lumpur,870000,2,2,0,Built-up,Fully
Sungai-Besi,Kuala-Lumpur,530000,3,2,0,Built-up,Unfurnished
Jalan-Klang-Lama,Kuala-Lumpur,725000,3,2,0,Built-up,Partly
Segambut,Kuala-Lumpur,350000,3,2,0,Built-up,Partly
Ampang,Kuala-Lumpur,600000,2,1,0,Built-up,Fully
KLCC,Kuala-Lumpur,1450000,1,1,0,Built-up,Fully
Jalan-Kuching,Kuala-Lumpur,400000,3,2,0,Built-up,Partly
KL-City,Kuala-Lumpur,240000,3,2,0,Built-up,Unfurnished
Jalan-Kuching,Kuala-Lumpur,450000,3,2,0,Built-up,Partly
Jalan-Kuching,Kuala-Lumpur,420000,3,2,0,Built-up,Partly
Cheras,Kuala-Lumpur,530000,3,2,0,Built-up,Partly
Cheras,Kuala-Lumpur,510000,3,2,0,Built-up,Unfurnished
Bukit-Jalil,Kuala-Lumpur,500000,3,2,0,Built-up,Partly
Cheras,Kuala-Lumpur,678000,3,3,0,Built-up,Partly
Cheras,Kuala-Lumpur,727000,3,2,0,Built-up,Partly
Mont-Kiara,Kuala-Lumpur,680000,2,2,0,Built-up,Partly
KLCC,Kuala-Lumpur,2900,2,2,0,Built-up,Fully
Setapak,Kuala-Lumpur,380000,3,2,0,Built-up,Fully
Desa-Petaling,Kuala-Lumpur,390000,3,2,0,Built-up,Partly
Titiwangsa,Kuala-Lumpur,580000,3,2,0,Built-up,Fully
KLCC,Kuala-Lumpur,1450000,2,2,0,Built-up,Fully
Dutamas,Kuala-Lumpur,970000,2,2,0,Built-up,Partly
Dutamas,Kuala-Lumpur,1200000,2,2,0,Built-up,Fully
Jalan-Ipoh,Kuala-Lumpur,500000,3,2,0,Built-up,Fully
Sentul,Kuala-Lumpur,395000,3,2,0,Built-up,Partly
Sentul,Kuala-Lumpur,395000,3,2,0,Built-up,Partly
Sentul,Kuala-Lumpur,395000,3,2,0,Built-up,Partly
Sentul,Kuala-Lumpur,365000,3,2,0,Built-up,Partly
Jalan-Klang-Lama,Kuala-Lumpur,435000,3,2,0,Built-up,Partly
Ampang,Kuala-Lumpur,880000,3,2,0,Built-up,Partly
Setapak,Kuala-Lumpur,480000,3,2,0,Built-up,Partly
Cheras,Kuala-Lumpur,795000,2,2,0,Built-up,Partly
Bukit-Bintang,Kuala-Lumpur,1020000,3,3,0,Built-up,Fully
Cheras,Kuala-Lumpur,415000,3,2,0,Built-up,Fully
Ampang,Kuala-Lumpur,600000,2,1,0,Built-up,Fully
Sentul,Kuala-Lumpur,374100,3,2,0,Built-up,Partly
Sentul,Kuala-Lumpur,374100,3,2,0,Built-up,Partly
Sentul,Kuala-Lumpur,374100,3,2,0,Built-up,Partly
Bangsar,Kuala-Lumpur,702000,3,2,0,Built-up,Partly
Bangsar,Kuala-Lumpur,702000,3,2,0,Built-up,Partly
Bangsar,Kuala-Lumpur,702000,3,2,0,Built-up,Partly
Bukit-Bintang,Kuala-Lumpur,1050000,2,1,0,Built-up,Fully
KL-Eco-City,Kuala-Lumpur,1200000,2,2,0,Built-up,Partly
Ampang,Kuala-Lumpur,650000,2,2,0,Built-up,Fully
Bukit-Bintang,Kuala-Lumpur,1350000,2,2,0,Built-up,Fully
Bukit-Bintang,Kuala-Lumpur,1150000,2,2,0,Built-up,Fully
Bukit-Bintang,Kuala-Lumpur,1180000,2,2,0,Built-up,Fully
Bukit-Bintang,Kuala-Lumpur,1123500,2,2,0,Built-up,Fully
Mont-Kiara,Kuala-Lumpur,899000,2,2,0,Built-up,Fully
Jalan-Ipoh,Kuala-Lumpur,642800,3,2,0,Built-up,Partly
Cheras,Kuala-Lumpur,420000,2,2,0,Built-up,Partly
City-Centre,Kuala-Lumpur,830000,2,2,0,Built-up,Fully
KLCC,Kuala-Lumpur,1700000,2,2,0,Built-up,Fully
KLCC,Kuala-Lumpur,1500000,2,2,0,Built-up,Fully
Sungai-Besi,Kuala-Lumpur,520000,3,2,0,Built-up,Partly
Sungai-Besi,Kuala-Lumpur,530000,3,2,0,Built-up,Partly
KLCC,Kuala-Lumpur,1300000,2,2,0,Built-up,Partly
Bandar-Menjalara,Kuala-Lumpur,435000,3,2,0,Built-up,Partly
Kepong,Kuala-Lumpur,550000,3,2,0,Built-up,Fully
Jalan-Kuching,Kuala-Lumpur,420000,3,2,0,Built-up,Partly
KLCC,Kuala-Lumpur,2900000,2,2,0,Built-up,Partly
Bandar-Menjalara,Kuala-Lumpur,420000,4,2,0,Built-up,Partly
Sentul,Kuala-Lumpur,428000,3,2,0,Built-up,Partly
KL-City,Kuala-Lumpur,1700080,2,1,0,Built-up,Fully
Bandar-Menjalara,Kuala-Lumpur,400000,3,2,0,Built-up,Partly
Bandar-Menjalara,Kuala-Lumpur,405000,3,2,0,Built-up,Partly
Desa-ParkCity,Kuala-Lumpur,1100000,2,2,0,Built-up,Fully
Sentul,Kuala-Lumpur,500000,3,2,0,Built-up,Fully
Bukit-Jalil,Kuala-Lumpur,1500,4,2,0,Built-up,Fully
Cheras,Kuala-Lumpur,525000,3,2,0,Built-up,Partly
Desa-ParkCity,Kuala-Lumpur,815000,2,2,0,Built-up,Fully
Sentul,Kuala-Lumpur,615000,3,2,0,Built-up,Fully
Sentul,Kuala-Lumpur,710000,3,2,0,Built-up,Fully
Sentul,Kuala-Lumpur,650000,3,2,0,Built-up,Fully
Sentul,Kuala-Lumpur,649000,3,2,0,Built-up,Partly
Wangsa-Maju,Kuala-Lumpur,710000,3,2,0,Built-up,Fully
Desa-Pandan,Kuala-Lumpur,950000,2,2,0,Built-up,Fully
KLCC,Kuala-Lumpur,2100000,2,2,0,Built-up,Fully
KL-Sentral,Kuala-Lumpur,1528888,2,2,0,Built-up,Fully
Sentul,Kuala-Lumpur,800000,3,3,0,Built-up,Fully
Desa-Pandan,Kuala-Lumpur,780000,2,2,0,Built-up,Partly
KLCC,Kuala-Lumpur,2337050,2,2,0,Built-up,Fully
KLCC,Kuala-Lumpur,2506500,1,1,0,Built-up,Partly
KL-Sentral,Kuala-Lumpur,1588000,2,2,0,Built-up,Fully
Damansara-Heights,Kuala-Lumpur,1109760,1,1,0,Built-up,Fully
City-Centre,Kuala-Lumpur,755000,3,2,0,Built-up,Fully
Wangsa-Maju,Kuala-Lumpur,550000,2,2,0,Built-up,Partly
Mont-Kiara,Kuala-Lumpur,780000,3,2,0,Built-up,Fully
Sentul,Kuala-Lumpur,635000,3,2,0,Built-up,Partly
Salak-Selatan,Kuala-Lumpur,358000,3,2,0,Built-up,Fully
Desa-Petaling,Kuala-Lumpur,360000,3,2,0,Built-up,Partly
Batu-Caves,Kuala-Lumpur,400000,3,2,0,Built-up,Unfurnished
Setapak,Kuala-Lumpur,470000,4,3,0,Built-up,Partly
Bangsar-South,Kuala-Lumpur,859196,3,2,0,Built-up,Unfurnished
Batu-Caves,Kuala-Lumpur,400000,3,2,0,Built-up,Unfurnished
Batu-Caves,Kuala-Lumpur,480000,3,2,0,Built-up,Partly
Batu-Caves,Kuala-Lumpur,420000,3,2,0,Built-up,Partly
Batu-Caves,Kuala-Lumpur,680000,3,2,0,Built-up,Partly
Cheras,Kuala-Lumpur,530000,3,2,0,Built-up,Partly
Cheras,Kuala-Lumpur,505000,3,2,0,Built-up,Partly
Bukit-Jalil,Kuala-Lumpur,382500,3,2,0,Built-up,Partly
Bangsar,Kuala-Lumpur,1300000,2,2,0,Built-up,Partly
Bukit-Bintang,Kuala-Lumpur,1200000,2,2,0,Built-up,Fully
Bukit-Bintang,Kuala-Lumpur,1199000,2,2,0,Built-up,Fully
Cheras,Kuala-Lumpur,485000,3,2,0,Built-up,Fully
Desa-ParkCity,Kuala-Lumpur,948888,2,2,0,Built-up,Fully
Jalan-Klang-Lama,Kuala-Lumpur,400000,3,2,0,Built-up,Partly
Dutamas,Kuala-Lumpur,520000,3,2,0,Built-up,Partly
Dutamas,Kuala-Lumpur,478000,3,2,0,Built-up,Partly
Jalan-Kuching,Kuala-Lumpur,450000,3,2,0,Built-up,Partly
Titiwangsa,Kuala-Lumpur,600000,3,2,0,Built-up,Fully
Bukit-Jalil,Kuala-Lumpur,550000,3,2,0,Built-up,Unfurnished
Jalan-Kuching,Kuala-Lumpur,420000,3,2,0,Built-up,Fully
Jalan-Kuching,Kuala-Lumpur,430000,3,2,0,Built-up,Fully
Titiwangsa,Kuala-Lumpur,590000,3,2,0,Built-up,Fully
Titiwangsa,Kuala-Lumpur,630000,3,2,0,Built-up,Partly
Jalan-Kuching,Kuala-Lumpur,550000,3,2,0,Built-up,Partly
Bangsar,Kuala-Lumpur,980000,2,2,0,Built-up,Partly
Jalan-Kuching,Kuala-Lumpur,400000,3,2,0,Built-up,Partly
Jalan-Kuching,Kuala-Lumpur,498000,3,2,0,Built-up,Fully
Bukit-Bintang,Kuala-Lumpur,1300000,3,3,0,Built-up,Fully
Titiwangsa,Kuala-Lumpur,580000,3,2,0,Built-up,Partly
Dutamas,Kuala-Lumpur,490000,3,2,0,Built-up,Partly
Jalan-Kuching,Kuala-Lumpur,400000,3,2,0,Built-up,Fully
Jalan-Kuching,Kuala-Lumpur,360000,3,2,0,Built-up,Fully
Desa-ParkCity,Kuala-Lumpur,1300000,2,2,0,Built-up,Partly
Wangsa-Maju,Kuala-Lumpur,670000,4,2,0,Built-up,Partly
Jalan-Kuching,Kuala-Lumpur,410000,3,2,0,Built-up,Partly
Dutamas,Kuala-Lumpur,500000,3,2,0,Built-up,Unfurnished
Bangsar,Kuala-Lumpur,1300000,1,1,0,Built-up,Fully
Bangsar,Kuala-Lumpur,975000,2,3,0,Built-up,Partly
Desa-Petaling,Kuala-Lumpur,440000,3,2,0,Built-up,Partly
Jalan-Kuching,Kuala-Lumpur,545000,3,2,0,Built-up,Partly
Dutamas,Kuala-Lumpur,488000,3,2,0,Built-up,Partly
Titiwangsa,Kuala-Lumpur,630000,3,2,0,Built-up,Partly
Bukit-Jalil,Kuala-Lumpur,690000,3,2,0,Built-up,Fully
Jalan-Kuching,Kuala-Lumpur,500000,3,2,0,Built-up,Fully
Dutamas,Kuala-Lumpur,620000,3,2,0,Built-up,Fully
Cheras,Kuala-Lumpur,650000,3,2,0,Built-up,Fully
Titiwangsa,Kuala-Lumpur,630000,3,2,0,Built-up,Fully
Batu-Caves,Kuala-Lumpur,420000,3,2,0,Built-up,Partly
Taman-Tun-Dr-Ismail,Kuala-Lumpur,1100000,3,2,0,Built-up,Fully
Setapak,Kuala-Lumpur,600000,3,2,0,Built-up,Partly
KLCC,Kuala-Lumpur,2800000,2,2,0,Built-up,Fully
KLCC,Kuala-Lumpur,2982000,2,2,0,Built-up,Fully
Taman-Desa,Kuala-Lumpur,650000,3,2,0,Built-up,Fully
Sungai-Besi,Kuala-Lumpur,671000,3,2,0,Built-up,Partly
Sungai-Besi,Kuala-Lumpur,560000,3,2,0,Built-up,Partly
Jalan-Klang-Lama,Kuala-Lumpur,700000,3,2,0,Built-up,Partly
Jalan-Ipoh,Kuala-Lumpur,630000,3,2,0,Built-up,Partly
KLCC,Kuala-Lumpur,3264000,2,2,0,Built-up,Fully
KLCC,Kuala-Lumpur,3244000,2,2,0,Built-up,Fully
Sentul,Kuala-Lumpur,620000,3,2,0,Built-up,Partly
Bukit-Jalil,Kuala-Lumpur,388001,3,2,0,Built-up,Partly
Bukit-Jalil,Kuala-Lumpur,539000,3,2,0,Built-up,Partly
Bangsar-South,Kuala-Lumpur,910000,3,2,0,Built-up,Unfurnished
Bangsar-South,Kuala-Lumpur,840000,3,2,0,Built-up,Partly
Kepong,Kuala-Lumpur,450000,3,2,0,Built-up,Fully
Kepong,Kuala-Lumpur,430000,3,2,0,Built-up,Fully
Bangsar-South,Kuala-Lumpur,858376,3,2,0,Built-up,Unfurnished
KL-Sentral,Kuala-Lumpur,1400000,2,2,0,Built-up,Fully
Kuchai-Lama,Kuala-Lumpur,500000,3,2,0,Built-up,Partly
Cheras,Kuala-Lumpur,590000,3,2,0,Built-up,Partly
Segambut,Kuala-Lumpur,550000,3,2,0,Built-up,Fully
Batu-Caves,Kuala-Lumpur,538500,3,2,0,Built-up,Fully
Sri-Petaling,Kuala-Lumpur,380000,3,2,0,Built-up,Partly
Sri-Petaling,Kuala-Lumpur,420000,3,2,0,Built-up,Partly
Segambut,Kuala-Lumpur,480000,3,2,0,Built-up,Partly
Sungai-Besi,Kuala-Lumpur,680000,3,2,0,Built-up,Partly
Sungai-Besi,Kuala-Lumpur,690000,3,2,0,Built-up,Partly
Sungai-Besi,Kuala-Lumpur,730000,3,2,0,Built-up,Fully
Setapak,Kuala-Lumpur,400000,3,2,0,Built-up,Unfurnished
Batu-Caves,Kuala-Lumpur,380000,3,2,0,Built-up,Partly
Batu-Caves,Kuala-Lumpur,380000,3,2,0,Built-up,Partly
Jalan-Klang-Lama,Kuala-Lumpur,520000,3,2,0,Built-up,Partly
City-Centre,Kuala-Lumpur,1420000,1,1,0,Built-up,Fully
City-Centre,Kuala-Lumpur,1520000,1,2,0,Built-up,Partly
City-Centre,Kuala-Lumpur,1550000,1,1,0,Built-up,Partly
KLCC,Kuala-Lumpur,900000,2,1,0,Built-up,Fully
KLCC,Kuala-Lumpur,960000,3,2,0,Built-up,Fully
KLCC,Kuala-Lumpur,890000,2,2,0,Built-up,Partly
KLCC,Kuala-Lumpur,955000,2,2,0,Built-up,Fully
Setapak,Kuala-Lumpur,490000,3,2,0,Built-up,Fully
City-Centre,Kuala-Lumpur,1499000,1,2,0,Built-up,Fully
Ampang,Kuala-Lumpur,750000,2,2,0,Built-up,Partly
Jinjang,Kuala-Lumpur,560000,3,2,0,Built-up,Partly
Sungai-Besi,Kuala-Lumpur,485000,3,2,0,Built-up,Partly
Sungai-Besi,Kuala-Lumpur,528000,3,2,0,Built-up,Partly
KLCC,Kuala-Lumpur,999000,2,2,0,Built-up,Fully
KLCC,Kuala-Lumpur,1050000,2,2,0,Built-up,Fully
Desa-ParkCity,Kuala-Lumpur,850000,3,2,0,Built-up,Fully
Segambut,Kuala-Lumpur,520000,3,2,0,Built-up,Fully
Cheras,Kuala-Lumpur,500000,4,2,0,Built-up,Partly
Desa-Petaling,Kuala-Lumpur,550000,3,2,0,Built-up,Partly
Sentul,Kuala-Lumpur,800000,2,2,0,Built-up,Partly
Dutamas,Kuala-Lumpur,1100000,2,2,0,Built-up,Fully
Dutamas,Kuala-Lumpur,1000000,2,2,0,Built-up,Fully
Dutamas,Kuala-Lumpur,1050000,2,2,0,Built-up,Fully
Dutamas,Kuala-Lumpur,1050000,2,2,0,Built-up,Fully
Dutamas,Kuala-Lumpur,1100000,2,2,0,Built-up,Fully
Dutamas,Kuala-Lumpur,1250000,2,2,0,Built-up,Fully
Dutamas,Kuala-Lumpur,1090600,2,2,0,Built-up,Fully
Dutamas,Kuala-Lumpur,1148000,2,2,0,Built-up,Fully
KLCC,Kuala-Lumpur,998000,3,2,0,Built-up,Fully
KLCC,Kuala-Lumpur,850000,2,2,0,Built-up,Fully
KLCC,Kuala-Lumpur,976650,2,2,0,Built-up,Fully
KLCC,Kuala-Lumpur,1150000,2,2,0,Built-up,Fully
Wangsa-Maju,Kuala-Lumpur,480000,3,2,0,Built-up,Partly
KLCC,Kuala-Lumpur,1080000,2,2,0,Built-up,Partly
Kepong,Kuala-Lumpur,430000,3,2,0,Built-up,Unfurnished
Kepong,Kuala-Lumpur,475000,3,2,0,Built-up,Partly
Wangsa-Maju,Kuala-Lumpur,540000,3,2,0,Built-up,Partly
Taman-Desa,Kuala-Lumpur,670000,3,2,0,Built-up,Fully
Kepong,Kuala-Lumpur,445000,3,2,0,Built-up,Unfurnished
Kuchai-Lama,Kuala-Lumpur,853400,3,2,0,Built-up,Partly
Kuchai-Lama,Kuala-Lumpur,1004000,3,2,0,Built-up,Partly
Jalan-Klang-Lama,Kuala-Lumpur,620000,3,2,0,Built-up,Partly
Wangsa-Maju,Kuala-Lumpur,480000,3,2,0,Built-up,Unfurnished
Dutamas,Kuala-Lumpur,896670,2,2,0,Built-up,Partly
Dutamas,Kuala-Lumpur,896670,4,3,0,Built-up,Partly
Dutamas,Kuala-Lumpur,896670,2,2,0,Built-up,Partly
Dutamas,Kuala-Lumpur,896670,2,2,0,Built-up,Partly
Dutamas,Kuala-Lumpur,807000,2,2,0,Built-up,Partly
Dutamas,Kuala-Lumpur,896670,2,2,0,Built-up,Partly
Taman-Desa,Kuala-Lumpur,645000,3,2,0,Built-up,Fully
KLCC,Kuala-Lumpur,1700000,2,0,0,Built-up,Fully
Bandar-Tasik-Selatan,Kuala-Lumpur,690000,3,2,0,Built-up,Unfurnished
Segambut,Kuala-Lumpur,630000,3,3,0,Built-up,Partly
KL-City,Kuala-Lumpur,1960000,3,3,0,Built-up,Partly
KLCC,Kuala-Lumpur,1910000,2,2,0,Built-up,Partly
KLCC,Kuala-Lumpur,1910000,2,2,0,Built-up,Partly
KLCC,Kuala-Lumpur,1910000,2,2,0,Built-up,Partly
Titiwangsa,Kuala-Lumpur,620000,3,2,0,Built-up,Partly
Taman-Desa,Kuala-Lumpur,660000,3,2,0,Built-up,Fully
Bangsar,Kuala-Lumpur,1162000,2,2,0,Built-up,Fully
Damansara-Heights,Kuala-Lumpur,1710000,2,2,0,Built-up,Partly
Jalan-Klang-Lama,Kuala-Lumpur,650000,2,2,0,Built-up,Unfurnished
Kepong,Kuala-Lumpur,618000,3,2,0,Built-up,Fully
KLCC,Kuala-Lumpur,1050000,3,1,0,Built-up,Fully
Jalan-Klang-Lama,Kuala-Lumpur,688000,2,2,0,Built-up,Partly
Jalan-Klang-Lama,Kuala-Lumpur,668000,2,2,0,Built-up,Unfurnished
Jalan-Klang-Lama,Kuala-Lumpur,650000,2,2,0,Built-up,Unfurnished
Jalan-Klang-Lama,Kuala-Lumpur,700000,2,2,0,Built-up,Unfurnished
Jalan-Klang-Lama,Kuala-Lumpur,650000,2,2,0,Built-up,Partly
Jalan-Klang-Lama,Kuala-Lumpur,680000,2,2,0,Built-up,Fully
Jalan-Klang-Lama,Kuala-Lumpur,668000,2,2,0,Built-up,Unfurnished
Setapak,Kuala-Lumpur,430000,4,2,0,Built-up,Partly
Desa-Petaling,Kuala-Lumpur,400000,3,2,0,Built-up,Partly
Desa-Pandan,Kuala-Lumpur,750000,3,2,0,Built-up,Partly
Jalan-Klang-Lama,Kuala-Lumpur,720000,3,2,0,Built-up,Partly
Jalan-Klang-Lama,Kuala-Lumpur,680000,3,2,0,Built-up,Partly
Setapak,Kuala-Lumpur,380000,3,2,0,Built-up,Partly
Bukit-Jalil,Kuala-Lumpur,800000,2,2,0,Built-up,Fully
Cheras,Kuala-Lumpur,580000,3,3,0,Built-up,Partly
Taman-Desa,Kuala-Lumpur,660000,3,2,0,Built-up,Partly
Taman-Tun-Dr-Ismail,Kuala-Lumpur,980000,3,2,0,Built-up,Partly
KLCC,Kuala-Lumpur,1182000,3,2,0,Built-up,Partly
KLCC,Kuala-Lumpur,1200000,2,2,0,Built-up,Partly
KLCC,Kuala-Lumpur,1300000,3,2,0,Built-up,Partly
KLCC,Kuala-Lumpur,3200000,2,2,0,Built-up,Partly
KLCC,Kuala-Lumpur,2950000,2,2,0,Built-up,Partly
Desa-ParkCity,Kuala-Lumpur,880000,3,2,0,Built-up,Fully
KLCC,Kuala-Lumpur,1380000,3,2,0,Built-up,Fully
Desa-ParkCity,Kuala-Lumpur,980000,3,2,0,Built-up,Fully
Jalan-Ipoh,Kuala-Lumpur,675000,3,2,0,Built-up,Partly
Jalan-Ipoh,Kuala-Lumpur,675000,3,2,0,Built-up,Partly
Jalan-Ipoh,Kuala-Lumpur,675000,3,2,0,Built-up,Partly
Jalan-Ipoh,Kuala-Lumpur,675000,3,2,0,Built-up,Partly
City-Centre,Kuala-Lumpur,650000,3,2,0,Built-up,Fully
Setapak,Kuala-Lumpur,518000,3,2,0,Built-up,Unfurnished
Cheras,Kuala-Lumpur,550000,3,2,0,Built-up,Unfurnished
Taman-Desa,Kuala-Lumpur,700000,3,2,0,Built-up,Partly
KLCC,Kuala-Lumpur,3200000,2,2,0,Built-up,Partly
Desa-Petaling,Kuala-Lumpur,360000,3,2,0,Built-up,Partly
